Date,Description,Amount,Transaction Type,Category,Account Name
2018-01-01,Amazon,11.11,debit,Shopping,Platinum Card
2018-01-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
2018-01-02,Thai Restaurant,24.22,debit,Restaurants,Silver Card
2018-01-03,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card
2018-01-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2018-01-05,American Tavern,25.85,debit,Restaurants,Silver Card
2018-01-06,Hardware Store,18.45,debit,Home Improvement,Silver Card
2018-01-08,Gas Company,45.0,debit,Utilities,Checking
2018-01-08,Hardware Store,15.38,debit,Home Improvement,Silver Card
2018-01-09,Spotify,10.69,debit,Music,Platinum Card
2018-01-10,Phone Company,89.46,debit,Mobile Phone,Checking
2018-01-11,Shell,34.87,debit,Gas & Fuel,Platinum Card
2018-01-11,Grocery Store,43.54,debit,Groceries,Platinum Card
2018-01-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-01-13,Pizza Place,32.91,debit,Fast Food,Platinum Card
2018-01-13,Amazon,39.05,debit,Shopping,Platinum Card
2018-01-15,Grocery Store,44.19,debit,Groceries,Silver Card
2018-01-15,American Tavern,64.11,debit,Restaurants,Silver Card
2018-01-16,City Water Charges,35.0,debit,Utilities,Checking
2018-01-16,Power Company,60.0,debit,Utilities,Checking
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-01-20,Amazon,50.21,debit,Shopping,Platinum Card
2018-01-22,Credit Card Payment,554.99,credit,Credit Card Payment,Platinum Card
2018-01-22,Credit Card Payment,309.81,credit,Credit Card Payment,Silver Card
2018-01-22,Hardware Store,17.38,debit,Home Improvement,Silver Card
2018-01-22,Credit Card Payment,554.99,debit,Credit Card Payment,Checking
2018-01-23,Credit Card Payment,309.81,debit,Credit Card Payment,Checking
2018-01-24,Starbucks,3.0,debit,Coffee Shops,Platinum Card
2018-01-25,Internet Service Provider,69.99,debit,Internet,Checking
2018-01-29,Shell,30.42,debit,Gas & Fuel,Silver Card
2018-01-29,Thai Restaurant,25.0,debit,Restaurants,Silver Card
2018-01-29,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card
2018-02-01,Grocery Store,27.79,debit,Groceries,Platinum Card
2018-02-01,Amazon,11.11,debit,Shopping,Platinum Card
2018-02-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-02-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
2018-02-03,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card
2018-02-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2018-02-05,Credit Card Payment,145.14,credit,Credit Card Payment,Platinum Card
2018-02-06,Credit Card Payment,154.13,credit,Credit Card Payment,Silver Card
2018-02-07,Credit Card Payment,154.13,debit,Credit Card Payment,Checking
2018-02-07,Gas Company,65.0,debit,Utilities,Checking
2018-02-09,Barbershop,30.0,debit,Haircut,Platinum Card
2018-02-09,Spotify,10.69,debit,Music,Platinum Card
2018-02-10,Bojangles,10.66,debit,Fast Food,Platinum Card
2018-02-11,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card
2018-02-12,Shell,36.47,debit,Gas & Fuel,Silver Card
2018-02-12,Phone Company,89.52,debit,Mobile Phone,Checking
2018-02-14,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card
2018-02-15,Power Company,60.0,debit,Utilities,Checking
2018-02-15,American Tavern,10.0,debit,Restaurants,Platinum Card
2018-02-16,City Water Charges,35.0,debit,Utilities,Checking
2018-02-16,Brunch Restaurant,8.0,debit,Restaurants,Silver Card
2018-02-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-02-20,Grocery Store,35.95,debit,Groceries,Silver Card
2018-02-20,Mexican Restaurant,23.51,debit,Restaurants,Silver Card
2018-02-21,Starbucks,2.0,debit,Coffee Shops,Platinum Card
2018-02-22,Starbucks,4.0,debit,Coffee Shops,Silver Card
2018-02-26,Gas Station,32.21,debit,Gas & Fuel,Silver Card
2018-02-26,Internet Service Provider,74.99,debit,Internet,Checking
2018-02-26,American Tavern,85.52,debit,Restaurants,Silver Card
2018-02-26,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card
2018-02-26,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card
2018-02-26,Credit Card Payment,765.37,debit,Credit Card Payment,Checking
2018-02-27,Credit Card Payment,156.11,debit,Credit Card Payment,Checking
2018-03-01,Amazon,13.13,debit,Shopping,Platinum Card
2018-03-01,Grocery Store,32.07,debit,Groceries,Silver Card
2018-03-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking
2018-03-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking
2018-03-03,Grocery Store,23.74,debit,Groceries,Silver Card
2018-03-04,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card
2018-03-04,Grocery Store,10.69,debit,Groceries,Platinum Card
2018-03-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card
2018-03-05,Credit Card Payment,761.59,debit,Credit Card Payment,Checking
